المنتج,سعر المنتج,صورة المنتج,رابط المنتج,المنافس,__المنافس__,__صف_الملف__,__سبب_التلف__
عينة ارماني اكوا دي جيو او دو تواليت 1.2مل,14.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/9409090d-eef1-4a56-97ee-d3a473a1ce29-500x500-XS6ebm3p0fd8Fh8fYhIb64d57m7Vz2qIffflheAH.jpg",https://mahally.com/products/1313514692/451409692/?queryID=6fe5cc1c995d66e0a094a7f8bb946d12&position=211&index=products_v2_store_view,م فنيلا,م فنيلا.csv,232,عينة_أو_مرفوض
عينة مانسيرا بلاك نوار او دو برفيوم 2مل,12.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/2b2bd5ee-cb22-4772-b947-a4a4d102900d-500x500-Ea5lH8Mf63gTO4pHmC11iuQgpWXM5T7uRFxnEtws.jpg",https://mahally.com/products/1313514692/648728186/?queryID=6fe5cc1c995d66e0a094a7f8bb946d12&position=218&index=products_v2_store_view,م فنيلا,م فنيلا.csv,239,عينة_أو_مرفوض
عينة مانسيرا انتنس ريد توباكو اكسترايت دو بارفيوم 2مل,11.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/1818a768-7e5c-44f4-9708-ae4386933d5b-492x500-oYSqZnm70gkmdGb0lqQLv7NacC15tWCljSP6QcPx.jpg",https://mahally.com/products/1313514692/1585608494/?queryID=6fe5cc1c995d66e0a094a7f8bb946d12&position=227&index=products_v2_store_view,م فنيلا,م فنيلا.csv,248,عينة_أو_مرفوض
عينة جورجيو ارماني سترونجر ويذ يو صندل او دو برفيوم 1.2مل,14.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/594b2902-ae10-4c59-b7dd-537966dc374a-500x500-vwNGaLM7zElQDztuSIqUwcJpNQQbgpzefPFFEEne.jpg",https://mahally.com/products/1313514692/17268252/?queryID=6fe5cc1c995d66e0a094a7f8bb946d12&position=228&index=products_v2_store_view,م فنيلا,م فنيلا.csv,249,عينة_أو_مرفوض
عينة ديور سوفاج او فورت برفيوم 1مل,9.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/57e46d0c-72d1-4c72-af55-9790c536023d-500x500-BcBPrfn80b9LjtQPepcMcVTfjKbCqKKOp1oXHrMC.jpg",https://mahally.com/products/1313514692/127032418/?queryID=6fe5cc1c995d66e0a094a7f8bb946d12&position=229&index=products_v2_store_view,م فنيلا,م فنيلا.csv,250,عينة_أو_مرفوض
عينة جان بول غوتييه لي مال الكسير برفيوم 1.5مل,14.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/56301973-8de8-4e26-a746-a3d8053c2886-500x500-0NmklcYE2ZgFleuFcxcQKbBUIOYKjc8GZCMxLPyu.jpg",https://mahally.com/products/1313514692/1504353612/?queryID=6fe5cc1c995d66e0a094a7f8bb946d12&position=231&index=products_v2_store_view,م فنيلا,م فنيلا.csv,252,عينة_أو_مرفوض
عينة جورجيو ارماني كود او دو بارفيوم 1.2مل,12.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/6924ecb6-a53c-4729-b0e7-23901b718c0b-500x500-zZNahM2MOxV2WdxY2vMeqcLkWyiKPQCr9xcPf4Lx.jpg",https://mahally.com/products/1313514692/1077591189/?queryID=6fe5cc1c995d66e0a094a7f8bb946d12&position=242&index=products_v2_store_view,م فنيلا,م فنيلا.csv,263,عينة_أو_مرفوض
عينة زيرجوف عود ستارز الكساندريا II انيفيرساري برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/908d25de-8117-4b4b-8fec-c03b37d8c38e-500x500-Dlo6O3ImWK2LzPyZ75oTveQzQxoxTZpXXzaOXcFN.jpg",https://mahally.com/products/1313514692/1474234941/?queryID=6fe5cc1c995d66e0a094a7f8bb946d12&position=248&index=products_v2_store_view,م فنيلا,م فنيلا.csv,269,عينة_أو_مرفوض
عينة ارماني كود بور هوم او دو بارفيوم 1.2مل,6.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/f6945144-72b3-4917-a733-324621ac5b05-500x500-IipBhIOSX9bOybAaKqCluIqJ4Ug1wJzYPlYRORhO.jpg",https://mahally.com/products/1313514692/263932330/?queryID=6fe5cc1c995d66e0a094a7f8bb946d12&position=286&index=products_v2_store_view,م فنيلا,م فنيلا.csv,307,عينة_أو_مرفوض
عينة زيرجوف توني ايومي ديفاييد برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/307e5316-2306-4452-a24e-a11f1571b263-500x500-koJxY5QMlgBDP630Y1QKcAvHdwC3LPRwH6Qit6HE.jpg",https://mahally.com/products/1313514692/1472836832/?queryID=16b46af47fd3833dbb719b19b5d983e8&position=308&index=products_v2_store_view,م فنيلا,م فنيلا.csv,329,عينة_أو_مرفوض
